id,pregunta_id,etiqueta,texto,es_correcta
1,1,A,Opción A de la pregunta 1,1
2,1,B,Opción B de la pregunta 1,0
3,1,C,Opción C de la pregunta 1,0
4,1,D,Opción D de la pregunta 1,0
5,2,A,Opción A de la pregunta 2,0
6,2,B,Opción B de la pregunta 2,0
7,2,C,Opción C de la pregunta 2,0
8,2,D,Opción D de la pregunta 2,1
9,3,A,Opción A de la pregunta 3,1
10,3,B,Opción B de la pregunta 3,0
11,3,C,Opción C de la pregunta 3,0
12,3,D,Opción D de la pregunta 3,0
13,4,A,Opción A de la pregunta 4,0
14,4,B,Opción B de la pregunta 4,0
15,4,C,Opción C de la pregunta 4,0
16,4,D,Opción D de la pregunta 4,1
17,5,A,Opción A de la pregunta 5,1
18,5,B,Opción B de la pregunta 5,0
19,5,C,Opción C de la pregunta 5,0
20,5,D,Opción D de la pregunta 5,0
21,6,A,Opción A de la pregunta 6,0
22,6,B,Opción B de la pregunta 6,1
23,6,C,Opción C de la pregunta 6,0
24,6,D,Opción D de la pregunta 6,0
25,7,A,Opción A de la pregunta 7,1
26,7,B,Opción B de la pregunta 7,0
27,7,C,Opción C de la pregunta 7,0
28,7,D,Opción D de la pregunta 7,0
29,8,A,Opción A de la pregunta 8,0
30,8,B,Opción B de la pregunta 8,0
31,8,C,Opción C de la pregunta 8,1
32,8,D,Opción D de la pregunta 8,0
33,9,A,Opción A de la pregunta 9,0
34,9,B,Opción B de la pregunta 9,0
35,9,C,Opción C de la pregunta 9,1
36,9,D,Opción D de la pregunta 9,0
37,10,A,Opción A de la pregunta 10,0
38,10,B,Opción B de la pregunta 10,0
39,10,C,Opción C de la pregunta 10,1
40,10,D,Opción D de la pregunta 10,0
41,11,A,Opción A de la pregunta 11,0
42,11,B,Opción B de la pregunta 11,0
43,11,C,Opción C de la pregunta 11,0
44,11,D,Opción D de la pregunta 11,1
45,12,A,Opción A de la pregunta 12,1
46,12,B,Opción B de la pregunta 12,0
47,12,C,Opción C de la pregunta 12,0
48,12,D,Opción D de la pregunta 12,0
49,13,A,Opción A de la pregunta 13,0
50,13,B,Opción B de la pregunta 13,1
51,13,C,Opción C de la pregunta 13,0
52,13,D,Opción D de la pregunta 13,0
53,14,A,Opción A de la pregunta 14,0
54,14,B,Opción B de la pregunta 14,0
55,14,C,Opción C de la pregunta 14,1
56,14,D,Opción D de la pregunta 14,0
57,15,A,Opción A de la pregunta 15,0
58,15,B,Opción B de la pregunta 15,0
59,15,C,Opción C de la pregunta 15,0
60,15,D,Opción D de la pregunta 15,1
