pregunta,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,grupo_referencia,modulo,tipo_prueba
"Pregunta 1: En el contexto de razonamiento cuantitativo, seleccione la opción correcta.",Opción A para pregunta 1,Opción B para pregunta 1,Opción C para pregunta 1,Opción D para pregunta 1,B,Razonamiento cuantitativo,Administración,Específica
"Pregunta 2: En el contexto de inglés, seleccione la opción correcta.",Opción A para pregunta 2,Opción B para pregunta 2,Opción C para pregunta 2,Opción D para pregunta 2,B,Inglés,Ingeniería,Específica
"Pregunta 3: En el contexto de comunicación escrita, seleccione la opción correcta.",Opción A para pregunta 3,Opción B para pregunta 3,Opción C para pregunta 3,Opción D para pregunta 3,A,Comunicación escrita,Genérico,Genérica
"Pregunta 4: En el contexto de lectura crítica, seleccione la opción correcta.",Opción A para pregunta 4,Opción B para pregunta 4,Opción C para pregunta 4,Opción D para pregunta 4,D,Lectura crítica,Genérico,Genérica
"Pregunta 5: En el contexto de competencias ciudadanas, seleccione la opción correcta.",Opción A para pregunta 5,Opción B para pregunta 5,Opción C para pregunta 5,Opción D para pregunta 5,C,Competencias ciudadanas,Genérico,Genérica
"Pregunta 6: En el contexto de comunicación escrita, seleccione la opción correcta.",Opción A para pregunta 6,Opción B para pregunta 6,Opción C para pregunta 6,Opción D para pregunta 6,C,Comunicación escrita,Genérico,Genérica
"Pregunta 7: En el contexto de lectura crítica, seleccione la opción correcta.",Opción A para pregunta 7,Opción B para pregunta 7,Opción C para pregunta 7,Opción D para pregunta 7,D,Lectura crítica,Genérico,Genérica
"Pregunta 8: En el contexto de inglés, seleccione la opción correcta.",Opción A para pregunta 8,Opción B para pregunta 8,Opción C para pregunta 8,Opción D para pregunta 8,B,Inglés,Genérico,Genérica
"Pregunta 9: En el contexto de inglés, seleccione la opción correcta.",Opción A para pregunta 9,Opción B para pregunta 9,Opción C para pregunta 9,Opción D para pregunta 9,D,Inglés,Genérico,Genérica
"Pregunta 10: En el contexto de razonamiento cuantitativo, seleccione la opción correcta.",Opción A para pregunta 10,Opción B para pregunta 10,Opción C para pregunta 10,Opción D para pregunta 10,C,Razonamiento cuantitativo,Educación,Específica
