id,enunciado,grupo_referencia,modulo,tipo_prueba,puntaje,creado_en
1,Esta es la pregunta 1 del módulo Comunicación Escrita para el grupo Salud.,Salud,Comunicación Escrita,especifica,0.71,2025-08-13 16:54:01.292759
2,Esta es la pregunta 2 del módulo Competencias Ciudadanas para el grupo Todos.,Todos,Competencias Ciudadanas,generica,1.0,2025-08-13 16:54:01.292780
3,Esta es la pregunta 3 del módulo Lectura Crítica para el grupo Todos.,Todos,Lectura Crítica,generica,1.15,2025-08-13 16:54:01.292797
4,Esta es la pregunta 4 del módulo Razonamiento Cuantitativo para el grupo Todos.,Todos,Razonamiento Cuantitativo,generica,1.5,2025-08-13 16:54:01.292809
5,Esta es la pregunta 5 del módulo Lectura Crítica para el grupo Educación.,Educación,Lectura Crítica,especifica,1.98,2025-08-13 16:54:01.292817
6,Esta es la pregunta 6 del módulo Competencias Ciudadanas para el grupo Todos.,Todos,Competencias Ciudadanas,generica,1.39,2025-08-13 16:54:01.292825
7,Esta es la pregunta 7 del módulo Competencias Ciudadanas para el grupo Todos.,Todos,Competencias Ciudadanas,generica,1.99,2025-08-13 16:54:01.292859
8,Esta es la pregunta 8 del módulo Competencias Ciudadanas para el grupo Todos.,Todos,Competencias Ciudadanas,generica,0.58,2025-08-13 16:54:01.292872
9,Esta es la pregunta 9 del módulo Competencias Ciudadanas para el grupo Salud.,Salud,Competencias Ciudadanas,especifica,0.58,2025-08-13 16:54:01.292889
10,Esta es la pregunta 10 del módulo Razonamiento Cuantitativo para el grupo Todos.,Todos,Razonamiento Cuantitativo,generica,0.82,2025-08-13 16:54:01.292897
11,Esta es la pregunta 11 del módulo Razonamiento Cuantitativo para el grupo Todos.,Todos,Razonamiento Cuantitativo,generica,1.58,2025-08-13 16:54:01.292903
12,Esta es la pregunta 12 del módulo Lectura Crítica para el grupo Salud.,Salud,Lectura Crítica,especifica,0.71,2025-08-13 16:54:01.292910
13,Esta es la pregunta 13 del módulo Competencias Ciudadanas para el grupo Todos.,Todos,Competencias Ciudadanas,generica,0.5,2025-08-13 16:54:01.292917
14,Esta es la pregunta 14 del módulo Competencias Ciudadanas para el grupo Administración.,Administración,Competencias Ciudadanas,especifica,1.1,2025-08-13 16:54:01.292923
15,Esta es la pregunta 15 del módulo Inglés para el grupo Administración.,Administración,Inglés,especifica,1.84,2025-08-13 16:54:01.292930
16,Esta es la pregunta 16 del módulo Competencias Ciudadanas para el grupo Todos.,Todos,Competencias Ciudadanas,generica,0.85,2025-08-13 16:54:01.292936
17,Esta es la pregunta 17 del módulo Inglés para el grupo Tecnología.,Tecnología,Inglés,especifica,1.17,2025-08-13 16:54:01.292942
18,Esta es la pregunta 18 del módulo Lectura Crítica para el grupo Administración.,Administración,Lectura Crítica,especifica,1.98,2025-08-13 16:54:01.292959
19,Esta es la pregunta 19 del módulo Razonamiento Cuantitativo para el grupo Administración.,Administración,Razonamiento Cuantitativo,especifica,0.95,2025-08-13 16:54:01.292966
20,Esta es la pregunta 20 del módulo Comunicación Escrita para el grupo Todos.,Todos,Comunicación Escrita,generica,1.75,2025-08-13 16:54:01.292972
21,Esta es la pregunta 21 del módulo Competencias Ciudadanas para el grupo Todos.,Todos,Competencias Ciudadanas,generica,0.94,2025-08-13 16:54:01.292979
22,Esta es la pregunta 22 del módulo Inglés para el grupo Todos.,Todos,Inglés,generica,0.89,2025-08-13 16:54:01.292985
23,Esta es la pregunta 23 del módulo Inglés para el grupo Todos.,Todos,Inglés,generica,1.09,2025-08-13 16:54:01.292994
24,Esta es la pregunta 24 del módulo Lectura Crítica para el grupo Ingeniería.,Ingeniería,Lectura Crítica,especifica,1.61,2025-08-13 16:54:01.293001
25,Esta es la pregunta 25 del módulo Inglés para el grupo Tecnología.,Tecnología,Inglés,especifica,1.91,2025-08-13 16:54:01.293007
26,Esta es la pregunta 26 del módulo Inglés para el grupo Todos.,Todos,Inglés,generica,1.96,2025-08-13 16:54:01.293013
27,Esta es la pregunta 27 del módulo Inglés para el grupo Todos.,Todos,Inglés,generica,1.92,2025-08-13 16:54:01.293019
28,Esta es la pregunta 28 del módulo Comunicación Escrita para el grupo Todos.,Todos,Comunicación Escrita,generica,1.2,2025-08-13 16:54:01.293027
29,Esta es la pregunta 29 del módulo Competencias Ciudadanas para el grupo Todos.,Todos,Competencias Ciudadanas,generica,0.53,2025-08-13 16:54:01.293034
30,Esta es la pregunta 30 del módulo Razonamiento Cuantitativo para el grupo Ingeniería.,Ingeniería,Razonamiento Cuantitativo,especifica,1.63,2025-08-13 16:54:01.293040
31,Esta es la pregunta 31 del módulo Competencias Ciudadanas para el grupo Ingeniería.,Ingeniería,Competencias Ciudadanas,especifica,0.73,2025-08-13 16:54:01.293046
32,Esta es la pregunta 32 del módulo Inglés para el grupo Todos.,Todos,Inglés,generica,0.89,2025-08-13 16:54:01.293052
33,Esta es la pregunta 33 del módulo Inglés para el grupo Administración.,Administración,Inglés,especifica,1.33,2025-08-13 16:54:01.293058
34,Esta es la pregunta 34 del módulo Razonamiento Cuantitativo para el grupo Todos.,Todos,Razonamiento Cuantitativo,generica,0.9,2025-08-13 16:54:01.293064
35,Esta es la pregunta 35 del módulo Inglés para el grupo Todos.,Todos,Inglés,generica,0.83,2025-08-13 16:54:01.293071
36,Esta es la pregunta 36 del módulo Lectura Crítica para el grupo Administración.,Administración,Lectura Crítica,especifica,1.3,2025-08-13 16:54:01.293079
37,Esta es la pregunta 37 del módulo Comunicación Escrita para el grupo Ingeniería.,Ingeniería,Comunicación Escrita,especifica,1.13,2025-08-13 16:54:01.293086
38,Esta es la pregunta 38 del módulo Inglés para el grupo Administración.,Administración,Inglés,especifica,0.57,2025-08-13 16:54:01.293092
39,Esta es la pregunta 39 del módulo Lectura Crítica para el grupo Todos.,Todos,Lectura Crítica,generica,0.61,2025-08-13 16:54:01.293100
40,Esta es la pregunta 40 del módulo Inglés para el grupo Todos.,Todos,Inglés,generica,0.96,2025-08-13 16:54:01.293108
41,Esta es la pregunta 41 del módulo Razonamiento Cuantitativo para el grupo Administración.,Administración,Razonamiento Cuantitativo,especifica,1.99,2025-08-13 16:54:01.294333
42,Esta es la pregunta 42 del módulo Comunicación Escrita para el grupo Todos.,Todos,Comunicación Escrita,generica,1.85,2025-08-13 16:54:01.294349
43,Esta es la pregunta 43 del módulo Competencias Ciudadanas para el grupo Todos.,Todos,Competencias Ciudadanas,generica,1.29,2025-08-13 16:54:01.294356
44,Esta es la pregunta 44 del módulo Comunicación Escrita para el grupo Todos.,Todos,Comunicación Escrita,generica,0.71,2025-08-13 16:54:01.294363
45,Esta es la pregunta 45 del módulo Lectura Crítica para el grupo Administración.,Administración,Lectura Crítica,especifica,1.53,2025-08-13 16:54:01.294378
46,Esta es la pregunta 46 del módulo Razonamiento Cuantitativo para el grupo Todos.,Todos,Razonamiento Cuantitativo,generica,1.96,2025-08-13 16:54:01.294384
47,Esta es la pregunta 47 del módulo Lectura Crítica para el grupo Todos.,Todos,Lectura Crítica,generica,1.38,2025-08-13 16:54:01.294391
48,Esta es la pregunta 48 del módulo Razonamiento Cuantitativo para el grupo Todos.,Todos,Razonamiento Cuantitativo,generica,1.1,2025-08-13 16:54:01.294397
49,Esta es la pregunta 49 del módulo Competencias Ciudadanas para el grupo Todos.,Todos,Competencias Ciudadanas,generica,0.59,2025-08-13 16:54:01.294413
50,Esta es la pregunta 50 del módulo Lectura Crítica para el grupo Salud.,Salud,Lectura Crítica,especifica,1.01,2025-08-13 16:54:01.294420
51,Esta es la pregunta 51 del módulo Inglés para el grupo Todos.,Todos,Inglés,generica,1.22,2025-08-13 16:54:01.294428
52,Esta es la pregunta 52 del módulo Comunicación Escrita para el grupo Tecnología.,Tecnología,Comunicación Escrita,especifica,1.54,2025-08-13 16:54:01.294435
