componente,modulo,grupo_referencia,tipo_prueba,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,correcta,puntaje
Competencias Ciudadanas,Economía,GRP-16,Específica,Enunciado de la pregunta 1 del componente Competencias Ciudadanas y módulo Economía.,Opción A de la pregunta 1,Opción B de la pregunta 1,Opción C de la pregunta 1,Opción D de la pregunta 1,A,1.0
Lectura Crítica,Ingeniería,GRP-1,Genérica,Enunciado de la pregunta 2 del componente Lectura Crítica y módulo Ingeniería.,Opción A de la pregunta 2,Opción B de la pregunta 2,Opción C de la pregunta 2,Opción D de la pregunta 2,C,1.0
Inglés,Derecho,GRP-5,Genérica,Enunciado de la pregunta 3 del componente Inglés y módulo Derecho.,Opción A de la pregunta 3,Opción B de la pregunta 3,Opción C de la pregunta 3,Opción D de la pregunta 3,D,1.0
Comunicación Escrita,Economía,GRP-49,Genérica,Enunciado de la pregunta 4 del componente Comunicación Escrita y módulo Economía.,Opción A de la pregunta 4,Opción B de la pregunta 4,Opción C de la pregunta 4,Opción D de la pregunta 4,A,1.0
Comunicación Escrita,Ingeniería,GRP-44,Genérica,Enunciado de la pregunta 5 del componente Comunicación Escrita y módulo Ingeniería.,Opción A de la pregunta 5,Opción B de la pregunta 5,Opción C de la pregunta 5,Opción D de la pregunta 5,D,1.0
Razonamiento Cuantitativo,Educación,GRP-35,Genérica,Enunciado de la pregunta 6 del componente Razonamiento Cuantitativo y módulo Educación.,Opción A de la pregunta 6,Opción B de la pregunta 6,Opción C de la pregunta 6,Opción D de la pregunta 6,A,1.0
Inglés,Economía,GRP-12,Genérica,Enunciado de la pregunta 7 del componente Inglés y módulo Economía.,Opción A de la pregunta 7,Opción B de la pregunta 7,Opción C de la pregunta 7,Opción D de la pregunta 7,A,1.0
Competencias Ciudadanas,Educación,GRP-38,Específica,Enunciado de la pregunta 8 del componente Competencias Ciudadanas y módulo Educación.,Opción A de la pregunta 8,Opción B de la pregunta 8,Opción C de la pregunta 8,Opción D de la pregunta 8,A,1.0
Razonamiento Cuantitativo,Educación,GRP-39,Específica,Enunciado de la pregunta 9 del componente Razonamiento Cuantitativo y módulo Educación.,Opción A de la pregunta 9,Opción B de la pregunta 9,Opción C de la pregunta 9,Opción D de la pregunta 9,D,1.0
Competencias Ciudadanas,Ingeniería,GRP-16,Específica,Enunciado de la pregunta 10 del componente Competencias Ciudadanas y módulo Ingeniería.,Opción A de la pregunta 10,Opción B de la pregunta 10,Opción C de la pregunta 10,Opción D de la pregunta 10,D,1.0
Comunicación Escrita,Ciencias Sociales,GRP-16,Genérica,Enunciado de la pregunta 11 del componente Comunicación Escrita y módulo Ciencias Sociales.,Opción A de la pregunta 11,Opción B de la pregunta 11,Opción C de la pregunta 11,Opción D de la pregunta 11,A,1.0
Comunicación Escrita,Arquitectura,GRP-7,Genérica,Enunciado de la pregunta 12 del componente Comunicación Escrita y módulo Arquitectura.,Opción A de la pregunta 12,Opción B de la pregunta 12,Opción C de la pregunta 12,Opción D de la pregunta 12,A,1.0
Comunicación Escrita,Educación,GRP-21,Genérica,Enunciado de la pregunta 13 del componente Comunicación Escrita y módulo Educación.,Opción A de la pregunta 13,Opción B de la pregunta 13,Opción C de la pregunta 13,Opción D de la pregunta 13,D,1.0
Razonamiento Cuantitativo,Educación,GRP-37,Genérica,Enunciado de la pregunta 14 del componente Razonamiento Cuantitativo y módulo Educación.,Opción A de la pregunta 14,Opción B de la pregunta 14,Opción C de la pregunta 14,Opción D de la pregunta 14,A,1.0
Competencias Ciudadanas,Ingeniería,GRP-49,Genérica,Enunciado de la pregunta 15 del componente Competencias Ciudadanas y módulo Ingeniería.,Opción A de la pregunta 15,Opción B de la pregunta 15,Opción C de la pregunta 15,Opción D de la pregunta 15,B,1.0
Comunicación Escrita,Derecho,GRP-10,Específica,Enunciado de la pregunta 16 del componente Comunicación Escrita y módulo Derecho.,Opción A de la pregunta 16,Opción B de la pregunta 16,Opción C de la pregunta 16,Opción D de la pregunta 16,A,1.0
Inglés,Economía,GRP-49,Genérica,Enunciado de la pregunta 17 del componente Inglés y módulo Economía.,Opción A de la pregunta 17,Opción B de la pregunta 17,Opción C de la pregunta 17,Opción D de la pregunta 17,A,1.0
Lectura Crítica,Arquitectura,GRP-28,Específica,Enunciado de la pregunta 18 del componente Lectura Crítica y módulo Arquitectura.,Opción A de la pregunta 18,Opción B de la pregunta 18,Opción C de la pregunta 18,Opción D de la pregunta 18,B,1.0
Competencias Ciudadanas,Administración,GRP-47,Genérica,Enunciado de la pregunta 19 del componente Competencias Ciudadanas y módulo Administración.,Opción A de la pregunta 19,Opción B de la pregunta 19,Opción C de la pregunta 19,Opción D de la pregunta 19,C,1.0
Comunicación Escrita,Derecho,GRP-49,Genérica,Enunciado de la pregunta 20 del componente Comunicación Escrita y módulo Derecho.,Opción A de la pregunta 20,Opción B de la pregunta 20,Opción C de la pregunta 20,Opción D de la pregunta 20,A,1.0
Comunicación Escrita,Administración,GRP-30,Específica,Enunciado de la pregunta 21 del componente Comunicación Escrita y módulo Administración.,Opción A de la pregunta 21,Opción B de la pregunta 21,Opción C de la pregunta 21,Opción D de la pregunta 21,D,1.0
Competencias Ciudadanas,Administración,GRP-50,Específica,Enunciado de la pregunta 22 del componente Competencias Ciudadanas y módulo Administración.,Opción A de la pregunta 22,Opción B de la pregunta 22,Opción C de la pregunta 22,Opción D de la pregunta 22,A,1.0
Comunicación Escrita,Educación,GRP-37,Genérica,Enunciado de la pregunta 23 del componente Comunicación Escrita y módulo Educación.,Opción A de la pregunta 23,Opción B de la pregunta 23,Opción C de la pregunta 23,Opción D de la pregunta 23,A,1.0
Competencias Ciudadanas,Derecho,GRP-36,Específica,Enunciado de la pregunta 24 del componente Competencias Ciudadanas y módulo Derecho.,Opción A de la pregunta 24,Opción B de la pregunta 24,Opción C de la pregunta 24,Opción D de la pregunta 24,D,1.0
Comunicación Escrita,Ciencias Sociales,GRP-31,Específica,Enunciado de la pregunta 25 del componente Comunicación Escrita y módulo Ciencias Sociales.,Opción A de la pregunta 25,Opción B de la pregunta 25,Opción C de la pregunta 25,Opción D de la pregunta 25,D,1.0
Lectura Crítica,Administración,GRP-23,Genérica,Enunciado de la pregunta 26 del componente Lectura Crítica y módulo Administración.,Opción A de la pregunta 26,Opción B de la pregunta 26,Opción C de la pregunta 26,Opción D de la pregunta 26,D,1.0
Lectura Crítica,Arquitectura,GRP-20,Específica,Enunciado de la pregunta 27 del componente Lectura Crítica y módulo Arquitectura.,Opción A de la pregunta 27,Opción B de la pregunta 27,Opción C de la pregunta 27,Opción D de la pregunta 27,A,1.0
Lectura Crítica,Ciencias Sociales,GRP-13,Específica,Enunciado de la pregunta 28 del componente Lectura Crítica y módulo Ciencias Sociales.,Opción A de la pregunta 28,Opción B de la pregunta 28,Opción C de la pregunta 28,Opción D de la pregunta 28,D,1.0
Inglés,Ciencias Sociales,GRP-10,Específica,Enunciado de la pregunta 29 del componente Inglés y módulo Ciencias Sociales.,Opción A de la pregunta 29,Opción B de la pregunta 29,Opción C de la pregunta 29,Opción D de la pregunta 29,D,1.0
Lectura Crítica,Economía,GRP-31,Genérica,Enunciado de la pregunta 30 del componente Lectura Crítica y módulo Economía.,Opción A de la pregunta 30,Opción B de la pregunta 30,Opción C de la pregunta 30,Opción D de la pregunta 30,A,1.0
Lectura Crítica,Ingeniería,GRP-5,Genérica,Enunciado de la pregunta 31 del componente Lectura Crítica y módulo Ingeniería.,Opción A de la pregunta 31,Opción B de la pregunta 31,Opción C de la pregunta 31,Opción D de la pregunta 31,B,1.0
Comunicación Escrita,Salud,GRP-20,Genérica,Enunciado de la pregunta 32 del componente Comunicación Escrita y módulo Salud.,Opción A de la pregunta 32,Opción B de la pregunta 32,Opción C de la pregunta 32,Opción D de la pregunta 32,B,1.0
Inglés,Salud,GRP-15,Genérica,Enunciado de la pregunta 33 del componente Inglés y módulo Salud.,Opción A de la pregunta 33,Opción B de la pregunta 33,Opción C de la pregunta 33,Opción D de la pregunta 33,C,1.0
Lectura Crítica,Educación,GRP-9,Genérica,Enunciado de la pregunta 34 del componente Lectura Crítica y módulo Educación.,Opción A de la pregunta 34,Opción B de la pregunta 34,Opción C de la pregunta 34,Opción D de la pregunta 34,B,1.0
